word,label
mafin,positive
zaman lafia,positive
burina,positive
sonta,positive
biri,negative
saku,positive
kazanta,negative
nauyin kasa,negative
munafurci,negative
ansace,negative
anbashi,positive
gogon biri,negative
bakarya,positive
ubansu,negative
jaddada,positive
sadakar,positive
rahmarka,positive
shawarata,positive
rigimammu,negative
hawaye,negative
hazikai,positive
shiriye,positive
zaman lpy,positive
rahamce,positive
fitsararru,negative
girman kai,negative
dadina,positive
shagulgulan,positive
sauwaqa,positive
mugu,negative
albishir,positive
wargi,negative
azzalumi,negative
jindadin,positive
murkushe,negative
yafemu,positive
konewa,negative
takura,negative
watsi,negative
zaba,positive
musibar,negative
yamutu,negative
dagewa,positive
tsorata,negative
yaimiki,positive
kokarin sa,positive
sunso,positive
anjii,positive
matsalar,negative
jahilci,negative
kalle,positive
damunmu,negative
akafi,positive
kutumar uban,negative
ranka shidade,positive
xinare️,positive
gaggawa,positive
karbuwa,positive
dafa,positive
zazzafan,positive
daki,negative
guje ma,negative
munaso,positive
abanxa,negative
rashawar,negative
kwartuwar,negative
yatsorata,negative
kakeson,positive
kamu,negative
gafartamusu,positive
tumun dare,negative
tsarwatsasu,negative
doraka,positive
gwanin,positive
in sha allahu,positive
yayii,positive
dace,positive
taimakama,positive
tasono,negative
jahili,negative
inaruwan,negative
magada,positive
wadae,negative
zakuci,positive
hakura,positive
sakemu,positive
sekunci,positive
tausayi,positive
zagon kasa,negative
fitaccen,positive
gwabza,negative
qaramin,negative
fallasawa,negative
armashi,positive
kachakacha,negative
agaisa,positive
munayinka,positive
damuwankune,negative
fatan alheri,positive
tsinanne,negative
kautarmana,positive
yan iskan,negative
a cuci,negative
kwar jini,positive
haurigiya,negative
dadtaku,positive
yan daba,negative
tawan,positive
maji,positive
nemo,positive
tallafin,positive
biyaka,positive
mayaudarine,negative
yiyuwa,positive
arzuki,positive
ranste,positive
suzo,positive
mudace‍️‍️,positive
damunsa,negative
jakunane,negative
đađi,positive
jikanka,positive
kuyi,positive
masoyanki,positive
zakama,positive
hakkina,positive
yaqarama,positive
jiqan shi,positive
sanki,positive
yatayaka,positive
arone,negative
kakeso,positive
kamawa,negative
qayataccen,positive
yahuta,positive
tasaka,positive
banzar,negative
kadanje,positive
yawon barbada,negative
jagajaga,negative
kafimu,positive
alhamdullah,positive
bakyaji,negative
gayu,positive
yatsare,positive
sonsa,positive
habbaka,positive
alhmdullh,positive
yantasha,negative
kyawawane,positive
zaqi,positive
tauyewa,negative
wasan,positive
walwalar,positive
ameen️️,positive
kuzari,positive
munafukae,negative
gara,positive
barar,negative
kashin,negative
jairan,negative
mutuwarsu,negative
ashar,negative
kinfara,positive
surutun,negative
marawa,positive
kikabar,negative
soyayya,positive
rahama,positive
marar,negative
ƙwaci,negative
abinciki,negative
yadamu,negative
haukar,negative
makaryata,negative
qarya,negative
kan uba,negative
budi,positive
soki,positive
alawadaran,negative
gangancin,negative
kutumàr uba,negative
zagemu,negative
haskaka,positive
damuwan,negative
fama,negative
saba,negative
da nasani,negative
mtsweeeee,negative
shegen,negative
shedanta,negative
karshe,negative
yan gatan,positive
baras,negative
gayamasa,positive
yayarda,positive
jinƙai,positive
tsarewa,positive
kunkai,positive
tubarkalla,positive
sharri,negative
yaji ƙanku,positive
zage,negative
rikici,negative
adalchi,positive
yaraina,negative
me karya,negative
godiya,positive
kashirya,positive
mapitah,positive
qone,negative
shawarar,positive
uwatar,negative
tausaya,positive
karuwanci,negative
zanbaki,positive
matsanncin,negative
shashashai,negative
ragargazasu,negative
cece kuce,negative
arzikin,positive
jagorancin,positive
munada,positive
alhairi,positive
girma,positive
dama,positive
alhamdullilah,positive
yakyautata,positive
jazakallahu khair,positive
niimarsa,positive
saisaita,positive
fitsari,negative
niyyar,positive
uwarki,negative
haramta,negative
mutuncinka,positive
munnafukai,negative
wadai,negative
jarrabta,negative
kakarɓe,negative
fahimtan,positive
kyakkyawon,positive
madaukakin,positive
allah ya isama,negative
hegiya,negative
damadama,positive
ƙarawa,positive
gardin,negative
cinyewa,positive
yantaada,negative
tsaida,positive
bayar,positive
gayyaci,positive
kyauta,positive
izgili,negative
tsaro,positive
alwadaran,negative
bamucin,negative
fitsararre,negative
jakar uba,negative
inyaso,positive
rabonsa,positive
hikima,positive
munafiki,negative
faranta,positive
madaukaki,positive
yaqare,negative
arzikinsa,positive
ruda,negative
taje,positive
taaziyyar,positive
hutawa,positive
zulumi,negative
fiye,positive
cinyemu,positive
danasani,negative
nashiga,positive
kuntatama,negative
haukatar,negative
tsapta,positive
matsoraciya,negative
makaryaci,negative
masoyiyah,positive
tsokanar,negative
sakarkarun,negative
bakuji,negative
wadanran,negative
goyanka,positive
tsinema,negative
maa sha allah,positive
kigwada,positive
rugurguza,negative
kwarto,negative
qoqarin,positive
ciwonku,negative
đauki,positive
batawa,negative
zabeshi,positive
kaso,positive
saran,negative
kaskantashi,negative
barawoba,negative
yakiyaye,positive
yassare,positive
ba kyau,negative
tozarci,negative
rudani,negative
mtsw,negative
gabadai,positive
nakeso,positive
mugama,positive
yatsine,negative
shiryaki,positive
alkawari,positive
fadawanka,positive
ragargaza,negative
tsarki,positive
akeson,positive
tarbiyya,positive
bijirewa,negative
kunci,positive
sharara,negative
kyawawa,positive
sheganta,negative
wahalarda,negative
makabarta,negative
wulaqancin,negative
shedan,negative
shawaran,positive
shegantar,negative
taxo,positive
bura ubansu,negative
barawon,negative
dache,positive
fizgar,negative
ka barmu,negative
hanamu,negative
ubanki,negative
mungode,positive
biyaki,positive
sha awar,positive
zasuji,positive
jajirtacce,positive
manyan kobo,negative
caccaka,negative
baqin ciki,negative
kiso,positive
tsari,positive
saukin,positive
barnar,negative
ubanka,negative
hango,positive
kazantace,negative
jiƙan sa,positive
aljannah,positive
ajalin,negative
tauna asirin,negative
gobara,negative
umurnin,positive
zangazanga,negative
aikaaikar,negative
zalinci,negative
kwantai,negative
dokan,positive
bakantawa,negative
yatemaki,positive
zalince,negative
yatemaka,positive
dadinsa,positive
