word,label
olosha,negative
làálàá,negative
gbẹ́nu sọ́hùn,negative
doyan,negative
adé ẹ̀gún,negative
agbelebu,negative
aditi,negative
fọwọ́ òsì,negative
lọ́láa wáhídù,positive
oríyọmí,positive
anfaani,positive
àṣeyẹ,positive
algbako,negative
sanwa,positive
oun ini,positive
abanije,negative
laibikitaopo,negative
ara le koko,positive
lemo,negative
luwon bi aso ofi,negative
ladùn,positive
orókè,positive
gbébọn,negative
ọgbọ́n,positive
láǹfààní,positive
yùngbàyùngbà,positive
lọ́ba,positive
ogbólògbó,negative
yẹ́ àga,negative
pataki pataki,positive
arifin,negative
bojumu,positive
gbẹ,negative
midun,positive
ìwàkuwà,negative
olódùmarè,positive
aláṣìkọ,negative
aiku baale oro,positive
ẹ dákun,positive
lẹ́mọ,negative
ẹsẹ́,positive
ṣẹ́kù,positive
pa je,negative
ìfọ̀kànbalẹ̀,positive
ajiki,positive
gbè,positive
àṣàìgbafẹ́,positive
pàbo lọ̀rọ̀ wọn jásí,negative
ara a tu yin,positive
arun ebola,negative
àníkún,positive
sanra,positive
ìbùkún,positive
arìnnà kore,positive
nparo,negative
modúpẹ́,positive
èdàmàrè,positive
korò,negative
ibodi,negative
ọ̀gbun,negative
légbodò,negative
ifá,positive
mura,positive
ojoola,positive
sunje,negative
ìgbáṣàlárugẹ,positive
oro isiti,positive
jandukun,negative
èébú,negative
penia,negative
sunkere fakere,negative
baálẹ̀ ọ̀rọ̀,positive
gbérù dórí,positive
gbomi loju,negative
ìwà aburú,negative
sanle,negative
inu midun,positive
alayelua,positive
gbe ife,positive
òrìṣà,positive
ore,positive
amúnibúni,negative
ngbadun,positive
elédùà,positive
tan ni,negative
ṣá bálábálá,negative
òfófó,negative
alààyè,positive
iree,positive
là,positive
ọ̀nà á là,positive
gbeyin leke,positive
àìjẹun kánú,negative
ominú kan,negative
jẹun èpè sanra,negative
kunju osunwon,positive
ifokanbale,positive
ewa,positive
régé,positive
ire ràbàtà,positive
ọ̀laọlọ́la,positive
kuna,negative
òwón,negative
àkàrá bá tú sépo,negative
je mula,positive
ìṣòro,negative
jàńjàń,negative
logo,positive
mesi,negative
ọtí,positive
ìtùbà,positive
ibojioran,negative
ko bikita,negative
omo garaji,negative
lẹ́fọ̀ọ̀rí,negative
kábíyèsí,positive
sọ̀bọ̀dìyẹsà,negative
da omi síwájú,positive
tokantokan,positive
ale,negative
anuibukun,positive
òtítọ́,positive
kóbá,negative
jẹ́ra wọn,negative
ṣe pẹ̀lẹ́,positive
ádé,positive
agbo ato,positive
ìtura,positive
àtúnṣe,positive
múnú bí mi,negative
sàńdákátà,positive
iron,positive
ọmọkáàárọ̀oòjíire,positive
ìfòyà,negative
dunni,negative
dáni,negative
ajakale àrùn,negative
kàn,negative
lakaye,positive
o se ko,negative
tu,positive
ruru,negative
iyanu,positive
gan,positive
tẹ̀yìn,negative
gbọ́nmi si,negative
ota,negative
ataare,positive
oku,negative
iṣẹ́abẹ,negative
laanu,positive
tiwa ba wa,negative
òkè,positive
alápámáṣiṣẹ́,negative
ìgbéga,positive
odaran,negative
dún,positive
àibófin,negative
oadupe,positive
àìmọ,negative
yáróbì,positive
kánjú,negative
ṣìrìn,positive
baaaje,negative
adẹ́dàá,positive
ìgboro,positive
òbẹ́nìkanjà,negative
pelepele,positive
tù,positive
jẹran,positive
suuru,positive
okunkun,negative
ìmọ́lẹ̀,positive
àgàn,negative
e seun,positive
amodun,positive
dàrìnnàkò,negative
jábọ́,negative
lekenka,positive
kòóngẹ́,positive
imo ṣọkan,positive
ẹrú,negative
fagbó,negative
ikilo,positive
ronu,positive
ba ti se,positive
inu nbi won,negative
àdáwọ́lẹ́,positive
