word,machine,human,label,emotion_intensity_score
musical,egwu,egwu,trust,0.492
pedicure,ịkpụ ụkwụ,ịkpụ ụkwụ,joy,0.328
dismay,obi nkoropụ,obi nkoropụ,surprise,0.57
detention,njide,njide,sadness,0.344
alcoholism,aismụrụma,mmanya,sadness,0.609
brunt,brunt,brọnt,anger,0.5
helpful,aka,inye aka,joy,0.422
injurious,na -emerụ ahụ,na -emerụ ahụ,fear,0.641
evil,ihe ọjọọ,ihe ọjọọ,disgust,0.758
moody,obi mgbawa,obi mgbawa,anger,0.412
opportune,dabara adaba,dabara adaba,joy,0.406
motivating,na -akpali akpali,na -akpali akpali,sadness,0.078
bridal,agbamakwụkwọ,agbamakwụkwọ,joy,0.531
bloodthirsty,ndị ọbara na -agụ,ndị ọbara na -agụ,anger,0.875
buck,ego,ego,surprise,0.383
suicidal,igbu onwe onye,igbu onwe onye,anger,0.636
towering,dị elu,dị elu,anticipation,0.367
horrid,egwu,egwu,sadness,0.734
commission,ọrụ,ọrụ,trust,0.469
failure,odida,ọdịda,fear,0.578
pond,ọdọ mmiri,ọdọ mmiri,joy,0.089
gradual,nwayọọ nwayọọ,nwayọọ nwayọọ,anticipation,0.375
disqualified,na -erughị eru,na -erughị eru,sadness,0.435
forgiving,na -agbaghara,na -agbaghara,trust,0.508
faculty,ngalaba,ngalaba,trust,0.383
irritation,mgbakasị,mgbakasị,sadness,0.47
loving,ịhụnanya,ịhụnanya,trust,0.641
inmate,onye nga,onye nga,fear,0.469
superman,onye ukwu,onye ukwu,joy,0.312
savor,esi ísì,esi ísì,joy,0.531
attacking,na -awakpo,na -awakpo,disgust,0.547
indignation,iwe,iwe,anger,0.587
thoughtless,echeghị echiche,echeghị echiche,anger,0.307
lyrical,egwu,egwu,joy,0.439
victimized,mebiri,mebiri,sadness,0.75
prepared,kwadebere,kwadebere,trust,0.703
imtryingtosleep,imtryingtosleep,achọrọm ịrahụ ụra,anger,0.234
deteriorate,njọ,njọ,sadness,0.625
admirable,dị mma,dị mma,trust,0.734
marriage,alụmdi na nwunye,alụmdi na nwunye,anticipation,0.656
inhibit,gbochie,gbochie,sadness,0.312
oblige,iwu,iwu,trust,0.461
garden,ogige,ogige,joy,0.333
scandal,asịrị,asịrị,fear,0.547
uprising,ọgba aghara,ọgba aghara,anticipation,0.68
crouching,na -edina ala,na -edina ala,fear,0.297
respite,ezumike,ezumike,trust,0.422
spank,spank,ịpịa,anger,0.652
hairchalk,ntutu ntutu,ntutu ntutu,trust,0.336
severance,ikewa,ikewa,sadness,0.333
bliss,obi ụtọ,obi ụtọ,joy,0.971
crazy,ara,ara,anger,0.5
grievance,iwe,iwe,disgust,0.328
thrilling,na -akpali akpali,na -akpali akpali,surprise,0.859
threatening,egwu,egwu,disgust,0.555
festive,ememme,mmemme,joy,0.833
morbidity,ọrịa,ọrịa,disgust,0.727
scold,ịba mba,ịba mba,anger,0.515
illegitimate,iwu akwadoghị,iwu akwadoghị,sadness,0.416
ultimate,kacha,kacha,anticipation,0.57
diplomatic,onye ọchịchị,onye ọchịchị,trust,0.68
growling,na -eti mkpu,na -eti mkpu,anger,0.75
cheers,anụrị,anụrị,joy,0.773
opium,opium,ọgwụ,fear,0.344
positivity,positivity,ihe ọma,joy,0.773
hemorrhage,ọbara ọgbụgba,ọbara ọgbụgba,sadness,0.75
gambler,onye na -agba chaa chaa,onye na -agba chaa chaa,anticipation,0.57
bankrupt,odida,ọdịda,sadness,0.609
spectacular,dị egwu,dị egwu,joy,0.912
concealed,zoro ezo,zoro ezo,surprise,0.531
destination,njedebe,njedebe,anticipation,0.703
expectation,atụmanya,atụmanya,anticipation,0.695
youth,ntorobịa,ntorobịa,anger,0.045
purgatory,pọgatrị,pọgatrị,fear,0.656
reject,iju,ịjụ,trust,0.227
sham,ihere,ihere,anger,0.409
gulp,gulp,iri ihe ọsọsọ,surprise,0.375
suicidal,igbu onwe onye,igbu onwe onye,fear,0.898
giggles,ọchị,ọchị,joy,0.672
whim,mkparị,mkparị,joy,0.266
descent,mgbada,mgbada,sadness,0.377
zealous,na -anụ ọkụ n'obi,na -anụ ọkụ n'obi,joy,0.393
antipathy,antipathy,iwe,disgust,0.453
luncheon,nri ehihie,nri ehihie,joy,0.172
dismay,obi nkoropụ,obi nkoropụ,sadness,0.636
atpeace,udo,udo,joy,0.727
resection,ntụgharị uche,ntụgharị uche,fear,0.406
unpleasant,adighi nma,adighi nma,disgust,0.477
enforce,manye,manye,anger,0.424
delusional,nduhie,nduhie,fear,0.25
apathy,enweghị mmasị,enweghị mmasị,sadness,0.281
evacuate,chụpụ,chụpụ,fear,0.578
baboon,adaka,adaka,disgust,0.25
prejudiced,ajọ mbunobi,ajọ mbunobi,fear,0.484
liberty,nnwere onwe,nnwere onwe,surprise,0.312
sothankful,dị ekele,dị ekele,joy,0.781
iris,iris,irishị,fear,0.16
blessing,ngọzi,ngọzi,trust,0.625
thug,onye ohi,onye ohi,disgust,0.594
honored,na -asọpụrụ,na -asọpụrụ,trust,0.719
wretch,ihe ojoo,ihe ọjọọ,disgust,0.695
lender,onye nbinye ego,onye nbinye ego,trust,0.43
guilt,ikpe ọmụma,ikpe ọmụma,sadness,0.75
insulting,mkparị,mkparị,fear,0.435
listless,enweghị ndepụta,enweghị ndepụta,sadness,0.729
asylum,mgbapu,mgbapu,fear,0.547
crucifixion,n'obe,n'obe,disgust,0.734
dissolution,mgbasa,mgbasa,fear,0.375
differences,ndịiche,ndịiche,trust,0.375
thief,onye ohi,onye ohi,fear,0.547
banger,banger,otu,anger,0.424
castle,nnukwu ụlọ,nnukwu ụlọ,joy,0.219
mule,ịnyịnya ibu,ịnyịnya ibu,trust,0.281
competent,tozuru oke,tozuru oke,trust,0.688
reproach,nkọcha,nkọcha,sadness,0.391
brilliant,amamiihe,amamiihe,trust,0.609
criticize,nkatọ,nkatọ,disgust,0.312
stretcher,ihe ndina,ihe ndina,fear,0.406
income,ego,ego,sadness,0.1
mortality,onwu,onwu,anger,0.312
outcast,onye ajuru aju,onye ajuru aju,fear,0.388
rely,dabere,dabere,trust,0.648
offense,mmejọ,mmejọ,sadness,0.484
cringe,egwu egwu,egwu egwu,disgust,0.516
teacher,onye nkuzi,onye nkuzi,trust,0.641
rubble,mkpọmkpọ ebe,mkpọmkpọ ebe,sadness,0.282
compassionate,ọmịiko,ọmịiko,trust,0.695
measles,akpịrịkpa,nkịtịkpa,sadness,0.469
embolism,embolism,embolizim,fear,0.516
uphold,kwadoo,kwadoo,trust,0.648
marriage,alụmdi na nwunye,alụmdi na nwunye,joy,0.514
violent,na -eme ihe ike,na -eme ihe ike,surprise,0.648
ecstatic,obi ụtọ,obi ụtọ,anticipation,0.688
opium,opium,ọgwụ,disgust,0.445
assuredly,n'ezie,n'ezie,trust,0.648
audition,nnyocha,nnyocha,fear,0.156
tyrannical,aka ike,aka ike,disgust,0.562
inhibit,gbochie,gbochie,anger,0.371
harm,mmerụ ahụ,mmerụ ahụ,fear,0.719
hateeee,asịeee,ịkpo oke asị,anger,0.779
candles,kandụl,kandụl,joy,0.25
wretch,ihe ojoo,onye iwe,anger,0.594
incongruous,ekwekọghị ekwekọ,ekwekọghị ekwekọ,anger,0.435
foe,onye iro,onye iro,anger,0.441
pleasing,na -atọ ụtọ,na -atọ ụtọ,joy,0.75
courier,onye ozi,onye ozi,trust,0.461
whim,mkparị,mkparị,anticipation,0.367
creature,ihe okike,ihe okike,disgust,0.43
sick,na -arịa ọrịa,na -arịa ọrịa,sadness,0.531
jealousy,ekworo,ekworo,fear,0.365
patrol,patrol,ngaharị,trust,0.406
blindfold,ikpuchi ihu,ikpuchi ihu,fear,0.266
foul,ihe ojoo,ihe ọjọọ,anger,0.545
devout,onye ji okpukpe kpọrọ ihe,onye ji okpukpe kpọrọ ihe,anticipation,0.438
discontent,enweghi afọ ojuju,enweghi afọ ojuju,disgust,0.336
lust,agụụ ihe ọjọọ,agụụ ihe ọjọọ,anticipation,0.625
infectious,na -efe efe,na -efe efe,sadness,0.483
sabotage,sabotage,mmegide,sadness,0.484
failing,odida,ọdịda,anticipation,0.383
dominate,chịkwaa,chịkwaa,fear,0.438
save,chekwaa,chekwaa,trust,0.562
reflex,mpiaji,mpiaji,surprise,0.508
fulfilling,na -emeju,na -emeju,joy,0.618
chronic,na -adịghị ala ala,na -adịghị ala ala,sadness,0.5
result,nsonaazụ,rizọltụ,anticipation,0.594
saber,saber,mma agha,anger,0.238
inflict,imerụ,imerụ,fear,0.562
courageous,nwere obi ike,nwere obi ike,trust,0.633
butcher,onye na-egbu anụ,onye na-egbu anụ,fear,0.609
pray,kpee ekpere,kpee ekpere,trust,0.516
powerfully,dị ike,dị ike,fear,0.454
retract,ndọghachi azụ,ndọghachi azụ,anger,0.348
lawyer,ọkàiwu,ọkàiwu,fear,0.349
reconstruct,wughachi,wughachi,anticipation,0.438
heart,obi,obi,joy,0.547
darkened,gbara ọchịchịrị,gbara ọchịchịrị,fear,0.61
crisis,nsogbu,nsogbu,fear,0.766
latent,zoro ezo,zoro ezo,anger,0.266
sicken,na -arịa ọrịa,na -arịa ọrịa,disgust,0.734
twinkle,ntabi anya,ntabi anya,anticipation,0.406
triumphant,mmeri,mmeri,anticipation,0.625
liberty,nnwere onwe,nnwere onwe,joy,0.486
intractable,na -enweghị mgbagha,na -enweghị mgbagha,anger,0.5
wine,mmanya,mmanya,joy,0.125
defective,nkwarụ,nkwarụ,disgust,0.375
lodging,ebe obibi,ebe obibi,trust,0.445
stab,igwu,igwu,surprise,0.695
down,gbadaa,gbadaa,sadness,0.281
savor,esi ísì,esi ísì,sadness,0.034
misstatement,nkọwa na -ezighi ezi,nkọwa na -ezighi ezi,disgust,0.234
parade,Nme,Nme,anticipation,0.562
oust,chụpụ,chụpụ,anger,0.484
forced,amanye,amanye,fear,0.569
