word,machine,human,label,emotion_intensity_score
dismal,m,mai haifar da ɓacin rai,sadness,0.562
nefarious,m,mugun aiki,disgust,0.656
advocacy,ba da shawara,ba da shawara,anger,0.1
ogre,ogre,dodo,fear,0.609
mangle,mangle,lalatawa,fear,0.672
devilish,shaidan,shaiɗan,disgust,0.625
blasphemous,sabo,saɓo,disgust,0.531
rainbow,bakan gizo,bakan gizo,joy,0.531
amicable,m,abokantaka,joy,0.469
divorce,saki,saki,fear,0.484
eek,ku,ku,fear,0.531
claw,faratu,faratu,fear,0.406
captive,fursuna,fursuna,fear,0.517
mine,nawa,nawa,joy,0.297
rule,mulki,mulki,trust,0.43
slender,siriri,siriri,fear,0.1
mouthful,baki,baki,disgust,0.164
murder,kisan kai,kisan kai,surprise,0.617
infamous,m,ƙaurin suna,disgust,0.289
nullify,rushe,rushe,surprise,0.203
magnify,girma,girma,trust,0.445
enforce,tilasta,tilasta,anger,0.424
coyote,coyote,dila,fear,0.422
throttle,maƙura,maƙura,anger,0.579
quack,quack,kukan agwagwa,disgust,0.461
vacation,hutu,hutu,joy,0.547
deformed,nakasasshe,nakasasshe,sadness,0.703
delusion,rudu,ruɗu,sadness,0.516
sin,zunubi,zunubi,disgust,0.625
brothel,gidan karuwai,gidan karuwai,disgust,0.609
affliction,wahala,wahala,joy,0.103
lamenting,makoki,makoki,sadness,0.656
obliterate,shafewa,shafewa,anger,0.843
zany,zani,zani,surprise,0.555
ejaculation,fitar maniyyi,fitar maniyyi,anticipation,0.734
haggard,haggard,kallon rashin lafiya,sadness,0.587
warlike,warlike,son yaƙi,anger,0.728
coercion,tilastawa,tilastawa,sadness,0.438
encyclopedia,Encyclopedia,babban ƙamusu,trust,0.672
polemic,m,raddi,disgust,0.5
unconscionable,maras tunani,maras tunani,disgust,0.492
merciless,marasa tausayi,marasa tausayi,fear,0.609
disembodied,disembodied,rabu daga jiki,sadness,0.66
profound,mai zurfi,mai zurfi,trust,0.625
rising,tashi,tashi,anticipation,0.648
casket,akwati,akwatin gawa,fear,0.594
explosive,mai fashewa,mai fashewa,fear,0.859
menace,barazana,barazana,anger,0.545
heartattack,ciwon zuciya,ciwon zuciya,fear,0.812
remiss,gafartawa,gafartawa,sadness,0.266
confederate,hadaddiya,haɗaɗɗiya,trust,0.375
larger,ya fi girma,ya fi girma,trust,0.383
untidy,rashin tsari,rashin tsari,disgust,0.422
ineptitude,rashin hankali,rashin hankali,fear,0.417
bigoted,mai girman kai,mai girman kai,anger,0.53
lawyer,lauya,lauya,anger,0.25
light,haske,haske,joy,0.297
standoff,tsayawar,tsayawar,anger,0.576
playground,filin wasa,filin wasa,anticipation,0.383
reject,ƙi,ƙi,trust,0.227
coronation,nadin sarauta,nadin sarauta,trust,0.523
strained,damuwa,damuwa,anger,0.484
launches,ƙaddamar,ƙaddamar,fear,0.344
lewd,lalata,lalata,disgust,0.719
worry,damu,damu,fear,0.578
deportation,fitarwa,fitarwa,anger,0.422
reproach,zargi,zargi,disgust,0.32
demonic,na aljanu,na aljanu,anger,0.828
intimidation,tsoratarwa,tsoratarwa,anger,0.703
waves,raƙuman ruwa,raƙuman ruwa,joy,0.266
brighten,haske,haske,trust,0.602
holiness,tsarki,tsarki,fear,0.109
establish,kafa,kafa,trust,0.641
anchorage,anga,anga,sadness,0.25
hurt,rauni,rauni,fear,0.688
horror,tsoro,tsoro,sadness,0.719
disrespect,rashin mutunci,rashin mutunci,anger,0.394
entangled,a haɗe,a haɗe,sadness,0.377
ram,rago,rago,anger,0.47
operation,aiki,aiki,fear,0.266
tortious,azaba,azaba,anger,0.516
progression,ci gaba,ci gaba,anticipation,0.586
insight,m,tunani,trust,0.562
recreation,nishaɗi,nishaɗi,anticipation,0.516
resign,murabus,murabus,anger,0.227
abyss,abyss,ƙarƙashin wuta,sadness,0.594
aggressor,mai zalunci,mai zalunci,fear,0.812
depreciated,rage daraja,rage daraja,fear,0.297
blackmail,cin zarafi,cin zarafi,fear,0.612
proxy,wakili,wakilci,trust,0.32
carcass,gawa,gawa,disgust,0.795
unruly,m,rashin ɗa'a,fear,0.281
tributary,na haraji,na haraji,anticipation,0.297
ranger,mai tsaron gida,mai tsaron gida,trust,0.484
sting,harba,harba,anger,0.544
comatose,comatose,dogon suma,sadness,0.562
lava,lawa,dutse mai aman wuta,fear,0.588
mentalhealth,lafiyar kwakwalwa,lafiyar ƙwaƙwalwa,fear,0.375
topple,topple,kifar,surprise,0.664
lesson,darasi,darasi,anticipation,0.367
dismay,damuwa,damuwa,anger,0.54
sarcoma,sarcoma,sankarar ƙashi,fear,0.625
rebels,'yan tawaye,'yan tawaye,fear,0.435
elevation,dagawa,ɗagawa,anticipation,0.508
obliterated,shafewa,shafewa,anger,0.894
trauma,rauni,rauni,fear,0.828
smile,murmushi,murmushi,surprise,0.117
turmoil,tashin hankali,tashin hankali,fear,0.733
encomium,encomium,yabo,trust,0.453
inspired,yi wahayi zuwa,yi wahayi zuwa,trust,0.602
vindication,tabbatarwa,tabbatarwa,joy,0.453
embolism,embolism,toshewar jijiya,sadness,0.531
reliance,dogaro,dogaro,anticipation,0.398
exacerbation,tsanantawa,tsanantawa,anger,0.531
competence,iyawa,iyawa,trust,0.75
fraternal,yan'uwan juna,yan'uwan juna,trust,0.531
blob,toshe,toshe,disgust,0.508
volcano,aman wuta,aman wuta,surprise,0.664
eruption,fashewa,fashewa,anger,0.667
waste,sharar gida,sharar gida,disgust,0.695
rampage,cin zarafi,cin zarafi,anger,0.833
demolish,rushe,rushe,anger,0.824
exclusion,warewa,warewa,fear,0.636
beastly,dabbanci,dabbanci,disgust,0.555
winterbreak,lokacin hunturu,lokacin hunturu,joy,0.429
waitinggame,wasan jira,wasan jira,fear,0.188
pharmacy,kantin magani,kantin magani,fear,0.123
struggle,gwagwarmaya,gwagwarmaya,anger,0.453
pleased,yarda,yarda,joy,0.725
wilderness,daji,daji,joy,0.121
airport,filin jirgin sama,filin jirgin sama,anticipation,0.5
goblin,goblin,dodon Turai,fear,0.594
paean,payan,waƙar yabo,trust,0.391
helpful,mai taimako,mai taimako,trust,0.602
court,kotu,kotu,fear,0.284
devastate,ɓarna,ɓarna,fear,0.792
glad,murna,murna,joy,0.781
guidebook,littafin jagora,littafin jagora,trust,0.664
stare,kallo,kallo,surprise,0.273
giant,kato,ƙato,fear,0.297
frightful,tsoratarwa,tsoratarwa,fear,0.812
ridicule,ba'a,ba'a,sadness,0.518
coward,matsoraci,matsoraci,fear,0.578
mislead,yaudara,yaudara,anger,0.455
muzzle,butulci,butulci,fear,0.312
disdain,rainawa,rainawa,disgust,0.398
truthfulness,gaskiya,gaskiya,trust,0.906
guilty,mai laifi,mai laifi,sadness,0.609
malevolent,mugu,mugu,fear,0.703
organization,kungiya,ƙungiya,joy,0.156
treat,bi da,bi da,anger,0.175
vulgarity,alfasha,alfasha,sadness,0.453
repellant,m,mai korewa,disgust,0.539
mug,mug,fuskar mutum,fear,0.359
fulfill,cika,cika,trust,0.602
fucksake,fucksake,ɓacin rai,anger,0.812
suddenly,kwatsam,kwatsam,surprise,0.828
teacher,malami,malami,trust,0.641
entertainment,nishaɗi,nishaɗi,joy,0.603
stillness,kwanciyar hankali,kwanciyar hankali,joy,0.203
coffee,kofi,kofi,joy,0.333
dictatorial,kama -karya,kama -karya,anger,0.53
perverse,karkatattu,karkatattu,anger,0.415
brilliant,m,mai hazaƙa,trust,0.609
eulogy,eulogy,yabo,trust,0.398
diatribe,diatribe,hari da magana,anger,0.606
pretty,kyakkyawa,kyakkyawa,joy,0.469
died,mutu,mutu,sadness,0.906
shipwreck,tarkacen jirgin ruwa,tarkacen jirgin ruwa,sadness,0.562
holocaust,kisan kiyashi,kisan kiyashi,anger,0.712
memoriesiwontforget,abubuwan tunawa,abubuwan tunawa,joy,0.682
impatient,rashin haƙuri,rashin haƙuri,fear,0.224
nutritious,mai gina jiki,mai gina jiki,sadness,0.015
battle,yaƙi,yaƙi,anger,0.697
haunted,haunted,wurin fatalwa,sadness,0.422
aggravation,tsanantawa,tsanantawa,disgust,0.469
warranty,garanti,garanti,trust,0.656
pop,pop,kiɗan pop,surprise,0.508
youth,matasa,matasa,fear,0.062
practiced,aikatawa,aikatawa,joy,0.264
sequestration,lalata,lalata,sadness,0.516
cue,nuni,nuni,anticipation,0.508
visor,visor,makari,anticipation,0.289
raging,fushi,fushi,disgust,0.484
connoisseur,masani,masani,joy,0.333
deteriorate,tabarbarewa,taɓarɓarewa,fear,0.641
intended,nufi,nufi,trust,0.469
preservative,mai kiyayewa,mai kiyayewa,anticipation,0.32
distress,damuwa,damuwa,fear,0.656
yeahhhh,dahhh,dahhh,joy,0.803
cussed,cussed,maras kintsi,anger,0.619
sadness,bakin ciki,baƙin ciki,trust,0.25
messenger,manzo,manzo,trust,0.391
slaughter,yanka,yanka,surprise,0.742
quote,faɗi,faɗi,anticipation,0.242
pleasing,m,mai faranta rai,joy,0.75
seniority,babba,babba,trust,0.586
arraignment,gurfanarwa,gurfanarwa,fear,0.45
ransom,fansa,fansa,fear,0.644
chilled,sanyi,sanyi,joy,0.25
subsidence,talauci,talauci,sadness,0.297
insists,nace,nace,anger,0.175
obnoxious,m,marar daɗi sosai,anger,0.484
patron,majiɓinci,majiɓinci,trust,0.609
betrayal,cin amana,cin amana,anger,0.561
detainee,wanda aka tsare,wanda aka tsare,anticipation,0.414
ultimate,na ƙarshe,na ƙarshe,anticipation,0.57
dietary,na abinci,na abinci,anticipation,0.352
countdown,kirgawa,ƙirgawa,anticipation,0.75
sensuality,lalata,lalata,joy,0.641
instructions,umarni,umarni,trust,0.539
probity,kusanci,kusanci,trust,0.422
visor,visor,makari,surprise,0.156
smile,murmushi,murmushi,trust,0.578
destination,manufa,manufa,joy,0.281
expedient,m,son rai,joy,0.25
award,lambar yabo,lambar yabo,trust,0.523
convict,mai laifi,mai laifi,sadness,0.469
infidel,kafiri,kafiri,fear,0.594
accursed,la'ananne,la'ananne,fear,0.594
offense,laifi,laifi,sadness,0.484
oddity,ban mamaki,ban mamaki,disgust,0.359
adjudicate,yanke hukunci,yanke hukunci,fear,0.297
cobra,maciji,maciji,fear,0.703
punitive,azaba,azaba,anger,0.439
fearing,tsoro,tsoro,fear,0.808
save,ajiye,ajiye,trust,0.562
angel,mala'ika,mala'ika,anticipation,0.438
destroying,lalata,lalata,sadness,0.734
stools,stool,kashi,disgust,0.625
stain,tabo,tabo,disgust,0.484
anticipation,jira,jira,anticipation,0.859
bizarre,m,sabon abu sosai,surprise,0.578
failure,kasawa,kasawa,sadness,0.812
rot,rubewa,ruɓewa,disgust,0.891
insanity,hauka,hauka,anger,0.469
antagonism,adawa,adawa,anger,0.609
wasp,wasp,zanzaro,fear,0.5
plunder,ganima,ganima,anger,0.469
wasteful,m,almubazzaranci,disgust,0.484
life,rayuwa,rayuwa,joy,0.438
blight,cuta,cuta,sadness,0.591
egregious,m,mara kyau sosai,disgust,0.57
duel,duel,faɗa,anger,0.422
woeful,masifa,masifa,sadness,0.641
contraband,haramtattun kayayyaki,haramtattun kayayyaki,anger,0.281
intercede,c interto,ceto,fear,0.234
bartender,mashaya,mashaya,trust,0.383
mortification,ɓarna,ɓarna,fear,0.719
wrongly,kuskure,kuskure,fear,0.328
gameday,gameday,ranar wasa,fear,0.125
timidity,rashin kunya,rashin kunya,anticipation,0.359
contemplation,tunani,tunani,anticipation,0.508
avoid,kaucewa,kaucewa,fear,0.297
ignorant,jahili,jahili,disgust,0.406
bacterium,kwayan cuta,ƙwayar cuta,disgust,0.727
painful,mai zafi,mai zafi,anger,0.426
fuckedoff,fuckedoff,ɓace,anger,0.742
depressed,tawayar,tawayar,anger,0.297
unhealthy,marasa lafiya,mara lafiya,fear,0.469
brighten,haske,haske,joy,0.719
revenge,fansa,fansa,fear,0.656
worsening,muni,muni,sadness,0.562
efficient,m,mai inganci,anticipation,0.398
abandonment,watsi,watsi,anger,0.438
spirit,ruhu,ruhu,joy,0.515
escort,rakiya,rakiya,trust,0.391
privileged,gata,gata,joy,0.485
cream,kirim,kirim,joy,0.061
inhibit,hana,hana,disgust,0.328
infanticide,kashe -kashe,kashe -kashe,fear,0.609
despairing,yanke ƙauna,yanke ƙauna,fear,0.474
mastery,gwaninta,gwaninta,trust,0.672
rapt,fyaɗe,fyaɗe,trust,0.414
disgust,ƙyama,ƙyama,disgust,0.719
impatiently,rashin haƙuri,rashin haƙuri,fear,0.25
homeless,marasa gida,marasa gida,disgust,0.438
bearish,bearish,baƙin ciki,fear,0.344
frisky,frisky,wasa cike da kuzari,surprise,0.375
eulogize,girmama,girmama,trust,0.422
excluded,kebe,keɓe,disgust,0.328
intimidate,tsoratarwa,tsoratarwa,fear,0.641
enroll,yi rajista,yi rajista,trust,0.461
puma,puma,zakin dutse,surprise,0.312
antiseptic,maganin antiseptik,maganin antiseptik,trust,0.422
assassin,kisa,mai kisan kai,anger,0.703
ruinous,lalata,lalata,fear,0.625
hooded,hooded,rufe kai,fear,0.266
hassle,matsala,matsala,anger,0.53
cheerful,na gaisuwa,na gaisuwa,surprise,0.391
bait,koto,koto,trust,0.133
giggle,yi dariya,yi dariya,joy,0.802
blunder,kuskure,kuskure,sadness,0.219
disposed,zubar,zubar,anticipation,0.32
indestructible,marar lalacewa,marar lalacewa,trust,0.695
bloodthirsty,masu shan jini,masu shan jini,disgust,0.852
cautiously,a hankali,a hankali,fear,0.188
screech,screech,kururuwa,surprise,0.641
disgust,ƙyama,ƙyama,sadness,0.531
respon,amsa,amsa,trust,0.32
fearfully,cikin tsoro,cikin tsoro,fear,0.656
illiterate,jahilai,jahilai,disgust,0.383
rabble,m,zagi,anger,0.394
starvation,yunwa,yunwa,fear,0.719
friendly,sada zumunci,sada zumunci,joy,0.578
abysmal,m,mummuna sosai,sadness,0.742
destroying,lalata,lalata,fear,0.844
adoration,sujada,sujada,joy,0.688
skirmish,fadan,fadan,anger,0.545
urgent,gaggawa,gaggawa,fear,0.45
monstrosity,girman kai,girman kai,disgust,0.781
cantstandit,cantstandit,"
ba zai iya jurewa ba",anger,0.529
atrocious,m,mai ban tsoro,disgust,0.617
salary,albashi,albashi,trust,0.414
complain,koka,koka,sadness,0.509
perishing,halaka,halaka,fear,0.672
surrendering,mika wuya,miƙa wuya,sadness,0.547
brigade,brigade,bataliyoyi,fear,0.547
shameful,abin kunya,abin kunya,sadness,0.609
enchant,sihiri,sihiri,joy,0.734
overthinker,mai tunani,mai tunani,fear,0.153
omnipotence,madaukaki,maɗaukaki,fear,0.406
assure,tabbatar,tabbatar,trust,0.641
arseholes,arseholes,wawa,anger,0.719
confusion,rudani,ruɗani,anger,0.219
cheerful,na gaisuwa,na gaisuwa,joy,0.906
pedicure,pedicure,gyaran ƙafa,joy,0.328
banished,kore,kore,anger,0.5
cherish,kauna,kauna,trust,0.617
excitation,zumudi,zumuɗi,anger,0.172
bridegroom,ango,ango,joy,0.469
together,tare,tare,joy,0.394
blighted,blighted,mummunan tasiri,sadness,0.656
boomerang,boomerang,dawowa,anticipation,0.602
candid,m,gaskiya,trust,0.531
attraction,jan hankali,jan hankali,trust,0.492
confusion,rudani,ruɗani,fear,0.281
disruption,rushewa,rushewa,fear,0.453
discrimination,nuna bambanci,nuna bambanci,fear,0.391
listenting,masu sauraro,masu sauraro,joy,0.359
lifestyle,salon rayuwa,salon rayuwa,trust,0.461
wisdom,hikima,hikima,joy,0.312
delirium,hauka,hauka,sadness,0.576
puma,puma,zakin dutse,fear,0.465
splendid,m,kyakkyawa,joy,0.812
doomsday,ranar alkiyama,ranar Alƙiyama,anticipation,0.5
carnage,kashe -kashe,kashe -kashe,fear,0.717
deranged,deranged,hauka,disgust,0.742
cur,cur,mummunan kare,anger,0.422
loath,raina,raina,anger,0.781
leprosy,kuturta,kuturta,sadness,0.719
intense,m,mai tsanani,fear,0.279
tyrannical,azzalumai,azzalumai,disgust,0.562
philanthropist,mai taimako,mai taimako,trust,0.578
precious,mai daraja,mai daraja,joy,0.682
dull,maras ban sha'awa,maras ban sha'awa,sadness,0.297
screaming,ihu,ihu,anger,0.742
indifference,halin ko in kula,halin ko in kula,sadness,0.219
homesweethome,gidan gida,gida daɗi,joy,0.826
bloodshed,zubar da jini,zubar da jini,anger,0.864
aggravation,tsanantawa,tsanantawa,anger,0.672
classics,litattafan gargajiya,na gargajiya,joy,0.318
targeting,niyya,niyya,fear,0.438
create,ƙirƙiri,ƙirƙiri,joy,0.288
lonely,kadaici,kaɗaici,disgust,0.297
lieutenant,Laftanar,laftanar,trust,0.508
agreeable,yarda,yarda,trust,0.695
hostilities,tashin hankali,rashin jituwa,anger,0.837
indignation,fushi,fushi,disgust,0.453
death,mutuwa,mutuwa,sadness,0.915
lash,lash,bulala,anger,0.578
fussy,m,farji,disgust,0.227
irritability,rashin tausayi,rashin tausayi,anger,0.609
deleterious,m,mai lalatarwa,anger,0.438
compliment,yabo,yabo,surprise,0.375
cutting,yankan,yanka,fear,0.484
scar,tabo,tabo,sadness,0.375
slimy,siriri,siriri,disgust,0.703
uncertain,rashin tabbas,rashin tabbas,disgust,0.352
mind,hankali,hankali,disgust,0.086
torpedo,torpedo,rokar jirgin ruwa,anger,0.562
uneasy,rashin jin daɗi,rashin jin daɗi,fear,0.312
goodmusic,musika mai kyau,kiɗa mai kyau,joy,0.594
shortage,kasawa,kasawa,sadness,0.281
luscious,m,mai daɗi,joy,0.682
sun,rana,rana,joy,0.266
jeremiah,jeremiya,jeremiya,trust,0.43
guide,jagora,jagora,trust,0.57
praised,yaba,yaba,joy,0.652
extermination,wargajewa,wargajewa,fear,0.797
stfu,stfu,rufe baki,anger,0.75
fatal,m,na ajali,anger,0.712
unity,hadin kai,haɗin kai,trust,0.641
evil,mugunta,mugunta,sadness,0.672
acclaim,yabawa,yabawa,trust,0.586
woe,kaito,kaito,sadness,0.719
coach,koci,koci,trust,0.555
defense,tsaro,tsaro,anticipation,0.492
relight,sake haske,sake haske,joy,0.312
impermeable,wanda ba zai iya jurewa ba,wanda ba zai iya jurewa ba,fear,0.438
sentinel,mai aikawa,mai aikawa,trust,0.516
hardy,m,mai juriya,trust,0.492
retaliation,ramuwar gayya,ramuwar gayya,fear,0.641
fangs,fangs,fiƙa,fear,0.672
appendicitis,appendicitis,afendis,sadness,0.438
abandoned,watsi,watsi,fear,0.534
symphony,waƙa,waƙa,joy,0.422
hydrocephalus,hydrocephalus,kumburin kai,fear,0.453
confessional,mai ikirari,mai iƙirari,trust,0.508
aspiration,buri,buri,trust,0.633
failure,kasawa,kasawa,fear,0.578
waffle,waffle,biskin,sadness,0.047
hearse,ji,ji,fear,0.484
enchanting,sihiri,sihiri,joy,0.828
slash,yanka,yanka,anger,0.571
vermin,kwari,kwari,anger,0.719
wasted,ɓata,ɓata,anger,0.441
hopeful,mai bege,mai bege,joy,0.559
sacrifices,sadaukarwa,sadaukarwa,disgust,0.383
dashed,fashe,fashe,fear,0.297
journey,tafiya,tafiya,fear,0.062
scream,ihu,ihu,anger,0.719
inadmissible,mara yarda,mara yarda,disgust,0.305
uncaring,rashin kulawa,rashin kulawa,anger,0.273
hell,jahannama,jahannama,disgust,0.68
jodie,jodie,Bayahudiya,trust,0.266
bang,bang,amo mai kaifi,disgust,0.305
disappointed,abin takaici,abin takaici,sadness,0.636
faulty,kuskure,kuskure,anger,0.375
punch,naushi,naushi,sadness,0.391
desolation,kufai,kufai,fear,0.667
stupidrain,wawa,wawa,anger,0.426
